intent	entities
achievement_properties_introduction	achievement
institution_outcome	institution
institution_scientific__research__device	institution
institution_attribute_representative__song	institution
institution_attribute_nature__of__unit	institution
institution_attribute_foundation__time	institution
institution_attribute_mascot	institution
institution_attribute_values	institution
institution_attribute_introduction	institution
institution_attribute_construction__goal	institution
institution_attribute_contact__phone	institution
institution_attribute_forum	institution
institution_attribute_evaluation	institution
institution_attribute_number__of__people	institution
institution_attribute_mission	institution
institution_attribute_characteristic__culture	institution
institution_attribute_url	institution
institution_attribute_location	institution
institution_attribute_english__name	institution
institution_attribute_strategic__objective	institution
institution_project	institution
institution_sub__institution	institution
institution_project	institution
scientific__research__device_properties_introduction	scientific__research__device
project_attribute_release__time	project
project_attribute_introduction	project
project_attribute_name	project
project_attribute_online__time	project
employee_attribute_office__location	employee
employee_attribute_on_time	employee
employee_attribute_birthday	employee
employee_attribute_address	employee
position_attribute_term	position
institution_institution_relationship	institution
institution_staff_attribute_position	['institution', 'position']
